No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf YTD,Perf Year,Perf 3Y,Perf 5Y,Perf 10Y,Volatility W,Volatility M,Avg Volume,Rel Volume,Price,Change,Volume
1,SNDK,7.07%,60.57%,368.90%,479.45%,453.69%,-,-,-,-,10.06%,9.22%,6.11M,1.13,199.33,1.79%,"6,902,946"
2,IREN,-3.42%,29.20%,268.63%,830.32%,518.64%,475.83%,1585.16%,-,-,7.30%,11.07%,35.37M,0.59,60.75,4.35%,"20,871,472"
3,BE,19.73%,50.18%,266.09%,703.89%,495.05%,1203.35%,616.70%,743.40%,-,10.85%,10.14%,13.25M,1.31,132.16,3.37%,"17,337,103"
4,SATS,1.01%,-5.23%,184.35%,211.57%,226.94%,196.87%,304.70%,194.76%,167.26%,2.73%,3.37%,5.20M,0.64,74.87,2.34%,"3,320,082"
5,RGTI,13.98%,25.06%,180.90%,316.46%,190.10%,2932.19%,2008.10%,-,-,10.83%,13.23%,78.63M,0.85,44.27,4.12%,"66,894,279"
6,LUMN,27.07%,61.13%,174.13%,171.96%,93.60%,55.76%,45.61%,11.14%,-63.31%,14.82%,8.32%,17.86M,2.77,10.28,-0.58%,"49,482,868"
7,NBIS,11.56%,3.93%,141.50%,415.04%,372.27%,453.15%,282.07%,203.10%,439.69%,6.61%,7.95%,17.71M,0.75,130.82,5.35%,"13,303,595"
8,QS,9.63%,28.95%,122.17%,362.16%,255.30%,238.35%,112.20%,42.72%,-,9.44%,11.47%,39.31M,2.12,18.44,16.78%,"83,517,237"
9,QBTS,13.51%,26.87%,115.72%,368.52%,341.19%,3150.88%,725.39%,-,-,11.09%,13.63%,53.12M,0.71,37.06,2.63%,"37,707,376"
10,GH,28.93%,51.35%,110.50%,98.55%,204.48%,326.89%,99.14%,-11.16%,-,6.05%,4.81%,2.76M,1.47,93.02,0.66%,"4,053,090"
11,INTC,4.47%,7.21%,105.08%,93.94%,99.45%,74.63%,46.97%,-14.40%,14.58%,4.49%,4.95%,128.27M,0.58,39.99,-0.42%,"74,563,892"
12,CIEN,6.07%,24.41%,104.94%,160.70%,123.94%,190.75%,312.51%,368.13%,707.14%,4.47%,4.69%,2.49M,0.86,189.92,0.51%,"2,144,644"
13,WDC,16.06%,14.44%,94.35%,236.12%,233.37%,191.05%,463.46%,390.90%,186.69%,8.15%,6.11%,8.91M,2.26,150.21,8.75%,"20,114,881"
14,RNA,42.12%,58.10%,87.06%,116.93%,140.20%,56.72%,381.06%,155.67%,-,0.49%,4.30%,4.94M,2.24,69.85,0.23%,"11,038,924"
15,CDE,-7.94%,-8.67%,86.43%,223.35%,200.17%,145.99%,325.00%,124.15%,461.11%,7.67%,6.80%,15.61M,0.92,17.17,-2.99%,"14,405,513"
16,LITE,12.41%,18.74%,81.37%,220.65%,140.10%,206.51%,175.09%,144.02%,1255.48%,7.10%,6.29%,3.47M,0.99,201.56,0.71%,"3,447,103"
17,UI,7.01%,16.14%,79.77%,129.65%,137.15%,199.62%,131.35%,318.05%,2372.30%,3.35%,4.68%,189.41K,1.17,787.18,1.99%,"221,935"
18,NXT,2.99%,27.55%,79.77%,139.86%,177.09%,213.08%,-,-,-,4.99%,5.04%,2.36M,0.69,101.22,2.12%,"1,632,464"
19,PSTG,5.24%,11.84%,75.47%,106.31%,60.67%,79.23%,236.86%,465.62%,412.20%,2.53%,3.68%,3.09M,1.09,98.70,1.74%,"3,375,507"
20,WBD,6.15%,16.68%,75.39%,162.88%,112.39%,197.35%,72.69%,9.41%,-24.59%,2.95%,3.97%,53.96M,0.80,22.45,3.84%,"43,266,482"
