No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf YTD,Perf Year,Perf 3Y,Perf 5Y,Perf 10Y,Volatility W,Volatility M,Avg Volume,Rel Volume,Price,Change,Volume
1,MU,6.63%,24.95%,115.20%,191.84%,178.87%,125.50%,349.53%,351.69%,1315.56%,3.29%,4.46%,23.17M,0.91,234.70,4.88%,"21,097,548"
2,APP,-1.70%,-7.41%,67.26%,109.43%,95.21%,268.27%,3495.79%,-,-,4.18%,5.85%,7.45M,0.44,632.14,-0.81%,"3,248,046"
3,LRCX,2.77%,10.58%,66.78%,118.16%,123.23%,110.91%,314.38%,368.95%,2047.86%,2.85%,3.76%,11.70M,0.62,161.24,2.40%,"7,296,491"
4,ASML,0.65%,3.35%,54.69%,56.11%,53.92%,56.01%,124.87%,191.19%,1055.94%,1.31%,2.24%,1.52M,0.56,1066.82,0.72%,"845,827"
5,TSLA,3.53%,8.97%,51.71%,67.12%,15.98%,81.86%,108.08%,230.86%,3163.75%,3.50%,4.09%,86.29M,0.97,468.37,2.59%,"84,110,706"
6,AMD,-0.01%,57.68%,48.96%,158.13%,114.96%,74.73%,343.09%,229.17%,11976.74%,3.50%,5.25%,61.25M,0.59,259.65,1.38%,"36,028,175"
7,GOOGL,5.37%,15.64%,45.74%,72.78%,49.88%,62.63%,207.66%,254.90%,676.12%,2.77%,2.49%,33.49M,0.86,283.72,0.90%,"28,644,733"
8,GOOG,5.26%,15.29%,45.46%,71.11%,49.19%,61.30%,206.83%,254.21%,697.22%,2.72%,2.46%,21.65M,0.91,284.12,0.82%,"19,643,114"
9,BABA,-6.55%,-10.82%,43.28%,33.54%,99.34%,71.25%,158.91%,-46.25%,123.27%,2.07%,3.18%,18.87M,0.51,167.69,-1.61%,"9,614,075"
10,SHOP,-1.21%,7.32%,36.17%,75.79%,62.64%,116.15%,407.16%,59.70%,5466.14%,4.06%,4.00%,8.06M,1.67,172.94,-0.53%,"13,447,973"
11,UNH,-8.80%,-7.33%,32.98%,-17.54%,-34.02%,-40.71%,-38.39%,4.14%,186.44%,3.98%,2.66%,13.73M,0.81,333.79,-2.27%,"11,083,142"
12,AAPL,0.09%,4.27%,32.59%,35.28%,7.44%,16.93%,85.81%,130.75%,833.55%,1.83%,1.95%,55.09M,0.88,269.05,-0.49%,"48,237,139"
13,CAT,8.26%,14.61%,31.40%,76.59%,57.29%,50.46%,168.97%,261.34%,697.80%,3.26%,2.81%,3.07M,0.79,570.59,-1.16%,"2,431,406"
14,TSM,2.22%,4.34%,31.14%,72.82%,54.37%,56.76%,400.18%,251.59%,1275.72%,2.48%,3.02%,12.48M,1.00,304.86,1.47%,"12,418,812"
15,AVGO,0.14%,7.15%,23.77%,80.62%,56.38%,105.25%,696.11%,908.20%,2833.02%,3.69%,3.46%,22.98M,0.68,362.55,-1.92%,"15,626,796"
16,AXP,-0.01%,9.50%,21.91%,30.07%,21.84%,31.94%,146.05%,280.93%,387.42%,1.55%,2.30%,2.55M,0.70,361.62,0.25%,"1,780,922"
17,IBM,-2.67%,5.67%,21.57%,22.29%,38.62%,48.72%,126.11%,188.56%,122.08%,2.83%,3.27%,5.47M,0.76,304.73,-0.87%,"4,144,128"
18,TMO,0.20%,3.97%,21.11%,33.77%,8.58%,2.59%,13.36%,15.45%,344.68%,2.54%,2.21%,2.10M,0.88,564.88,-0.44%,"1,834,971"
19,PLTR,9.51%,19.71%,19.57%,67.39%,173.94%,374.20%,2309.07%,1792.05%,-,3.29%,3.91%,62.33M,1.17,207.18,3.35%,"73,079,796"
20,AMZN,11.91%,15.71%,18.83%,36.30%,15.78%,31.79%,128.91%,54.58%,734.69%,2.41%,2.31%,46.76M,1.98,254.00,4.00%,"92,485,022"
