No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf YTD,Perf Year,Perf 3Y,Perf 5Y,Perf 10Y,Volatility W,Volatility M,Avg Volume,Rel Volume,Price,Change,Volume
1,IREN,18.44%,42.33%,305.03%,942.61%,565.70%,607.48%,2064.62%,-,-,11.30%,10.94%,35.20M,0.97,65.37,0.59%,"6,782,380"
2,SNDK,14.66%,50.81%,294.49%,419.64%,375.47%,-,-,-,-,9.47%,9.03%,5.77M,2.09,171.17,-3.01%,"2,389,565"
3,APLD,11.68%,64.06%,262.31%,711.16%,375.65%,341.56%,1707.96%,48353.33%,218.77%,9.94%,10.24%,33.02M,1.69,36.34,5.79%,"11,110,202"
4,RGTI,2.23%,37.92%,188.59%,361.55%,167.98%,3307.75%,1894.78%,-,-,12.12%,13.32%,76.59M,0.96,40.89,1.62%,"14,673,091"
5,BE,2.38%,45.20%,184.06%,465.12%,381.16%,1062.84%,540.29%,551.62%,-,11.22%,10.15%,12.96M,0.64,106.86,-1.53%,"1,654,939"
6,NBIS,19.54%,13.10%,143.05%,422.46%,350.04%,607.09%,200.89%,202.13%,436.17%,7.98%,7.66%,17.52M,1.24,124.66,-0.61%,"4,321,600"
7,SATS,1.82%,1.98%,128.85%,230.88%,227.99%,201.04%,310.66%,190.56%,168.36%,2.41%,3.52%,5.21M,0.26,75.11,0.97%,"269,111"
8,QBTS,11.53%,41.84%,110.43%,412.86%,327.38%,3049.12%,647.92%,-,-,12.35%,13.65%,52.28M,1.23,35.90,2.45%,"12,720,826"
9,CDE,-2.46%,-3.76%,106.00%,225.95%,215.12%,153.52%,366.97%,127.30%,485.23%,7.03%,6.52%,15.40M,1.05,18.02,1.95%,"3,210,318"
10,INTC,8.97%,20.48%,104.23%,104.23%,107.19%,85.95%,54.03%,-22.35%,24.23%,5.51%,5.20%,126.44M,1.70,41.54,5.06%,"42,565,555"
11,CIEN,7.49%,26.57%,96.25%,170.81%,115.09%,176.14%,323.43%,344.81%,682.90%,4.73%,4.45%,2.46M,0.46,182.42,-0.07%,"223,086"
12,RNA,42.58%,64.05%,89.63%,117.46%,140.49%,54.89%,391.46%,153.76%,-,3.84%,5.31%,4.10M,10.05,69.93,-0.09%,"8,178,337"
13,OKLO,1.61%,21.61%,87.34%,479.74%,567.40%,684.54%,1353.21%,-,-,12.22%,10.96%,20.21M,1.27,141.69,3.10%,"5,083,734"
14,LITE,19.62%,19.89%,77.45%,225.09%,132.19%,201.55%,171.11%,133.67%,1265.02%,7.29%,6.10%,3.35M,1.05,194.93,0.58%,"696,098"
15,WDC,2.80%,6.92%,74.74%,207.27%,177.01%,149.07%,373.84%,292.73%,120.65%,4.87%,5.92%,8.73M,0.89,124.82,-1.46%,"1,541,659"
16,UI,3.46%,13.27%,74.03%,129.88%,124.63%,196.04%,131.56%,276.41%,2372.15%,4.21%,4.73%,182.49K,1.49,745.60,0.15%,"53,919"
17,KRMN,7.91%,19.47%,69.16%,144.59%,183.66%,-,-,-,-,4.35%,4.29%,1.47M,0.36,85.24,1.63%,"105,038"
18,IONS,2.18%,14.11%,68.79%,145.56%,109.39%,88.81%,62.85%,57.90%,65.95%,2.70%,2.59%,2.51M,0.80,73.20,0.29%,"396,054"
19,NXT,10.64%,30.36%,68.56%,130.43%,171.68%,217.18%,-,-,-,4.96%,4.97%,2.47M,0.44,99.25,0.71%,"214,709"
20,ROIV,5.23%,24.54%,64.96%,66.56%,58.96%,59.36%,323.54%,-,-,2.54%,3.17%,7.15M,0.60,18.81,-0.03%,"858,825"
