No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf YTD,Perf Year,Perf 3Y,Perf 5Y,Perf 10Y,Volatility W,Volatility M,Avg Volume,Rel Volume,Price,Change,Volume
1,SNDK,19.77%,82.57%,313.02%,449.46%,392.53%,-,-,-,-,8.36%,8.80%,5.61M,2.39,177.31,-4.75%,"6,622,244"
2,IREN,7.37%,51.90%,302.69%,895.07%,547.51%,632.55%,1957.77%,-,-,12.23%,11.17%,35.00M,1.33,63.58,1.09%,"22,998,244"
3,BE,-4.47%,48.16%,199.81%,441.50%,369.09%,1052.49%,541.14%,473.39%,-,11.35%,10.03%,13.07M,0.81,104.18,-5.61%,"5,243,456"
4,RGTI,-5.31%,31.53%,183.41%,344.79%,168.74%,3289.26%,1971.21%,-,-,13.00%,13.40%,75.82M,1.25,41.01,5.59%,"46,709,654"
5,SATS,1.02%,1.98%,153.84%,230.28%,227.11%,198.20%,321.06%,185.47%,167.51%,2.75%,3.55%,5.20M,0.20,74.91,1.06%,"519,801"
6,NBIS,12.14%,13.49%,142.52%,406.96%,341.26%,612.29%,206.72%,204.58%,427.08%,8.77%,7.74%,17.35M,1.15,122.23,4.24%,"9,870,666"
7,QBTS,3.50%,33.05%,101.50%,383.11%,323.87%,2892.02%,568.01%,-,-,13.59%,13.52%,51.76M,1.69,35.60,9.05%,"43,231,387"
8,CIEN,5.59%,28.79%,100.72%,174.96%,115.53%,175.91%,347.03%,348.57%,694.74%,4.82%,4.50%,2.44M,0.53,182.79,2.09%,"639,812"
9,INTC,4.33%,11.97%,94.76%,93.81%,98.25%,80.85%,52.42%,-25.60%,18.34%,4.74%,5.15%,127.75M,1.69,39.75,3.84%,"106,338,114"
10,RNA,42.66%,62.79%,94.49%,124.07%,140.44%,54.01%,383.88%,157.72%,-,4.62%,5.55%,3.11M,30.79,69.92,42.26%,"47,187,400"
11,CDE,-20.97%,-5.59%,89.24%,205.44%,204.37%,138.49%,391.81%,121.22%,482.27%,6.09%,6.25%,15.29M,1.31,17.41,-6.65%,"9,880,632"
12,OKLO,-17.20%,19.14%,85.45%,437.72%,520.30%,619.61%,1252.04%,-,-,11.92%,10.89%,20.24M,1.06,131.69,-3.21%,"10,597,955"
13,LITE,19.42%,19.61%,75.62%,220.02%,129.03%,192.83%,173.38%,128.00%,1261.68%,6.69%,5.82%,3.28M,2.20,192.27,7.23%,"3,553,636"
14,WDC,1.64%,15.57%,74.94%,201.94%,174.15%,145.42%,388.42%,294.77%,103.12%,5.29%,5.65%,8.74M,0.83,123.53,-4.56%,"3,561,715"
15,IONS,-1.50%,13.04%,74.66%,143.61%,107.24%,88.57%,61.61%,52.85%,62.37%,2.57%,2.58%,2.49M,0.50,72.45,2.24%,"619,508"
16,BMNR,-0.30%,6.22%,67.62%,570.50%,587.69%,362.49%,-33.78%,-10.60%,-99.99%,5.71%,6.97%,50.98M,0.74,53.64,6.41%,"18,514,815"
17,UI,1.67%,15.09%,66.73%,134.46%,125.41%,194.95%,144.65%,278.03%,2233.74%,4.48%,4.73%,180.50K,1.36,748.20,1.71%,"121,349"
18,FTAI,6.49%,14.27%,65.06%,74.09%,30.79%,33.77%,1179.86%,1217.16%,1411.13%,3.88%,3.96%,1.17M,1.57,188.40,3.54%,"901,753"
19,TER,6.23%,9.27%,63.29%,92.45%,17.42%,18.83%,99.95%,68.14%,710.64%,4.08%,3.92%,3.97M,0.98,147.86,2.48%,"1,920,905"
20,KRMN,7.03%,22.41%,62.91%,135.78%,178.70%,-,-,-,-,4.10%,4.20%,1.54M,0.65,83.75,-0.48%,"493,162"
