No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf YTD,Perf Year,Perf 3Y,Perf 5Y,Perf 10Y,Volatility W,Volatility M,Avg Volume,Rel Volume,Price,Change,Volume
1,SNDK,30.21%,130.56%,475.59%,553.14%,648.75%,-,-,-,-,11.88%,9.96%,7.01M,1.92,269.55,12.56%,"12,997,210"
2,BE,-1.00%,62.24%,241.67%,645.32%,534.58%,1184.78%,717.99%,870.66%,-,9.95%,10.58%,13.51M,0.70,140.94,4.24%,"9,118,093"
3,IREN,-11.11%,0.75%,237.75%,701.86%,513.24%,445.47%,2247.76%,-,-,14.37%,12.04%,38.22M,0.98,60.22,-3.46%,"35,959,709"
4,LUMN,-11.55%,59.02%,164.91%,137.81%,97.06%,16.01%,80.41%,14.86%,-63.17%,11.21%,9.48%,19.02M,0.98,10.46,-0.53%,"17,980,807"
5,SATS,-2.15%,-0.34%,163.39%,265.46%,222.05%,171.44%,331.03%,200.65%,160.26%,4.96%,3.70%,5.20M,0.32,73.75,0.37%,"1,615,115"
6,WDC,10.28%,50.98%,129.56%,274.18%,286.74%,229.87%,584.11%,515.30%,239.94%,6.28%,6.28%,9.09M,1.09,174.26,6.94%,"9,504,506"
7,LITE,32.00%,76.09%,120.17%,267.28%,213.82%,266.06%,263.58%,222.11%,1680.07%,8.75%,7.04%,3.89M,1.54,263.45,9.72%,"5,765,278"
8,CIEN,9.83%,33.51%,115.98%,163.51%,145.49%,203.94%,355.68%,425.09%,752.23%,5.57%,4.97%,2.59M,1.13,208.20,4.49%,"2,817,198"
9,TSEM,17.14%,39.05%,114.49%,149.45%,91.96%,127.73%,145.66%,356.30%,621.75%,5.32%,4.13%,1.27M,3.85,98.88,17.62%,"4,728,522"
10,RGTI,-15.12%,-24.40%,104.97%,187.49%,117.60%,2667.08%,1744.72%,-,-,10.57%,12.49%,80.14M,0.42,33.21,-1.67%,"32,524,952"
11,WBD,2.47%,33.57%,103.57%,147.45%,116.08%,172.55%,90.81%,8.14%,-24.02%,3.01%,3.50%,52.70M,0.42,22.84,0.75%,"21,150,697"
12,NXT,6.60%,30.68%,98.53%,113.71%,196.19%,159.91%,-,-,-,7.39%,5.55%,2.40M,0.57,108.20,3.41%,"1,313,755"
13,HL,18.46%,20.53%,97.07%,202.91%,207.84%,143.79%,252.23%,198.45%,613.20%,7.47%,6.14%,24.22M,0.68,15.11,8.90%,"15,795,427"
14,STX,10.42%,36.77%,88.45%,187.60%,239.72%,184.73%,504.68%,482.34%,654.14%,6.23%,6.21%,4.26M,0.74,293.21,4.96%,"3,029,686"
15,ROIV,8.22%,32.24%,83.33%,93.00%,79.30%,80.52%,289.91%,-,-,3.52%,3.24%,7.93M,1.02,21.21,2.87%,"7,816,507"
16,MDB,2.31%,20.08%,81.69%,97.06%,62.18%,34.38%,140.16%,66.36%,-,5.61%,4.15%,2.56M,0.63,377.58,4.58%,"1,551,807"
17,RVMD,5.28%,29.48%,77.14%,49.14%,42.80%,5.12%,203.20%,100.19%,-,4.45%,3.96%,2.19M,1.21,62.46,2.38%,"2,561,201"
18,GH,-1.47%,51.77%,76.89%,133.95%,219.03%,285.39%,112.90%,-7.26%,-,7.07%,5.66%,2.72M,0.85,97.46,0.77%,"2,214,715"
19,INTC,-2.62%,5.76%,76.36%,73.42%,91.85%,53.55%,40.43%,-14.24%,12.77%,4.08%,4.79%,127.49M,0.45,38.47,0.88%,"55,104,274"
20,IONS,-5.08%,-0.09%,68.82%,108.49%,99.97%,79.07%,57.13%,48.74%,45.19%,3.93%,3.04%,2.46M,1.43,69.91,-4.95%,"3,379,116"
