No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf YTD,Perf Year,Perf 3Y,Perf 5Y,Perf 10Y,Volatility W,Volatility M,Avg Volume,Rel Volume,Price,Change,Volume
1,SNDK,9.80%,63.04%,384.93%,486.52%,497.27%,-,-,-,-,9.78%,9.30%,6.59M,1.35,215.02,-0.68%,"489,669"
2,IREN,27.12%,23.17%,301.14%,974.16%,653.67%,769.68%,2083.18%,-,-,11.68%,11.54%,37.33M,2.16,74.01,-3.14%,"4,427,248"
3,BE,10.13%,60.77%,282.61%,716.71%,533.95%,1201.29%,670.66%,1013.92%,-,10.13%,10.21%,13.41M,0.60,140.80,-0.43%,"441,604"
4,LUMN,6.00%,55.68%,191.49%,163.46%,106.40%,46.52%,47.51%,27.15%,-60.97%,15.73%,9.22%,18.69M,0.40,10.96,0.92%,"412,373"
5,SATS,-2.88%,-6.82%,162.37%,197.90%,210.26%,192.75%,274.34%,206.78%,153.62%,3.41%,3.17%,5.09M,2.80,71.05,-1.76%,"780,822"
6,RGTI,-14.53%,-15.94%,135.36%,252.47%,138.14%,3115.93%,1832.98%,-,-,10.90%,12.96%,79.33M,0.64,36.34,-2.55%,"2,796,825"
7,WDC,18.94%,35.58%,119.15%,270.87%,264.63%,233.38%,509.13%,476.28%,220.60%,7.49%,6.00%,9.04M,0.77,164.29,2.62%,"383,652"
8,LITE,24.41%,52.66%,114.14%,279.19%,196.58%,288.00%,230.12%,201.10%,1615.91%,7.92%,6.59%,3.75M,3.27,248.98,6.97%,"673,311"
9,CIEN,6.23%,25.73%,111.17%,168.44%,136.69%,217.43%,318.56%,409.62%,739.92%,5.21%,4.92%,2.53M,0.38,200.74,2.52%,"52,876"
10,WBD,5.04%,26.94%,108.16%,152.05%,114.85%,177.97%,70.11%,12.20%,-22.68%,2.70%,3.95%,53.11M,0.58,22.71,-0.22%,"1,682,159"
11,NXT,12.65%,42.24%,98.64%,150.35%,205.65%,166.10%,-,-,-,5.92%,5.28%,2.37M,0.52,111.65,-0.17%,"67,203"
12,INTC,-4.76%,2.18%,91.71%,82.13%,90.76%,69.83%,35.15%,-13.63%,12.39%,3.63%,4.81%,127.88M,0.40,38.25,-0.35%,"2,782,212"
13,QS,5.35%,8.51%,89.90%,316.92%,220.52%,226.82%,100.91%,40.97%,-,11.64%,11.64%,40.11M,0.55,16.64,-2.55%,"1,220,582"
14,STX,5.05%,25.65%,87.36%,192.72%,226.60%,182.20%,452.40%,489.48%,640.65%,8.51%,6.00%,4.23M,1.06,281.89,2.22%,"245,954"
15,IONS,1.11%,7.19%,80.09%,128.98%,114.50%,95.08%,67.28%,59.72%,46.92%,3.67%,2.92%,2.47M,0.15,74.99,0.42%,"20,076"
16,GH,3.71%,46.72%,76.73%,129.94%,213.72%,306.10%,93.62%,-12.62%,-,7.27%,5.31%,2.79M,0.34,95.84,0.83%,"52,116"
17,ROIV,3.70%,26.67%,76.72%,84.09%,71.64%,76.11%,283.11%,-,-,3.78%,3.13%,7.76M,0.42,20.31,0.37%,"178,545"
18,TER,7.04%,30.94%,76.18%,146.41%,50.36%,81.59%,130.28%,115.53%,876.98%,4.48%,4.23%,3.71M,0.54,189.34,0.93%,"109,011"
19,QBTS,-17.96%,-13.50%,75.30%,184.31%,252.68%,2866.95%,894.13%,-,-,11.25%,13.56%,52.99M,1.65,29.62,-4.50%,"4,807,826"
20,RVMD,3.47%,27.37%,74.03%,45.34%,39.25%,9.02%,192.98%,101.76%,-,3.80%,3.90%,2.19M,1.19,60.91,2.65%,"142,435"
