No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf YTD,Perf Year,Perf 3Y,Perf 5Y,Perf 10Y,Volatility W,Volatility M,Avg Volume,Rel Volume,Price,Change,Volume
1,MU,6.39%,21.26%,100.46%,179.89%,183.19%,134.28%,334.43%,373.44%,1370.27%,5.01%,4.45%,23.43M,1.36,238.33,0.35%,"31,779,027"
2,LRCX,0.73%,13.79%,59.40%,116.54%,124.55%,118.67%,292.99%,374.13%,2038.58%,4.02%,3.72%,11.53M,0.83,162.19,-1.73%,"9,597,019"
3,LLY,11.01%,10.85%,49.83%,24.75%,21.43%,16.29%,165.88%,618.57%,1043.22%,4.25%,2.91%,4.60M,1.39,937.44,1.26%,"6,410,284"
4,ASML,-4.30%,4.19%,42.49%,45.36%,48.50%,53.35%,116.50%,184.93%,1017.97%,1.96%,2.20%,1.52M,0.70,1029.20,-1.39%,"1,067,770"
5,GOOGL,1.16%,16.41%,41.37%,84.57%,50.42%,68.25%,214.75%,252.39%,664.58%,2.59%,2.59%,33.38M,1.06,284.75,0.15%,"35,496,922"
6,GOOG,1.22%,16.25%,41.19%,83.20%,49.83%,67.18%,215.29%,252.05%,696.02%,2.53%,2.55%,21.56M,1.05,285.34,0.21%,"22,727,314"
7,BABA,-3.63%,-7.46%,39.26%,34.31%,99.25%,71.69%,158.71%,-44.08%,107.23%,2.34%,3.12%,18.91M,0.65,167.61,1.69%,"12,318,783"
8,AMD,-6.73%,0.91%,37.59%,133.73%,96.79%,68.93%,298.42%,215.71%,11059.62%,4.94%,4.79%,60.37M,1.09,237.70,-7.27%,"65,669,881"
9,CAT,-2.29%,13.47%,36.80%,75.72%,57.07%,51.33%,160.77%,262.80%,691.69%,3.27%,2.90%,3.01M,0.74,569.78,0.11%,"2,211,994"
10,APP,0.12%,-1.32%,36.27%,83.02%,91.88%,290.52%,3529.44%,-,-,5.65%,4.73%,7.37M,1.14,621.36,0.70%,"8,404,326"
11,TSLA,1.32%,1.65%,35.27%,56.56%,10.42%,83.62%,95.73%,244.74%,3060.54%,4.94%,4.31%,86.79M,1.19,445.91,-3.50%,"103,642,915"
12,IBM,0.76%,7.93%,28.96%,22.93%,42.12%,51.42%,126.06%,192.93%,132.72%,3.24%,3.42%,5.39M,1.06,312.42,1.84%,"5,693,803"
13,UNH,-6.73%,-13.07%,28.17%,-16.60%,-36.43%,-42.35%,-41.25%,5.38%,168.62%,3.02%,2.77%,12.95M,0.59,321.56,-1.89%,"7,595,869"
14,AXP,1.91%,12.94%,22.96%,28.93%,23.23%,35.36%,148.66%,300.84%,392.76%,1.93%,2.29%,2.53M,0.92,365.73,-0.02%,"2,335,691"
15,TMO,1.75%,5.56%,22.85%,37.78%,8.79%,1.89%,9.33%,19.63%,330.80%,2.50%,2.25%,2.07M,0.62,565.98,-0.29%,"1,277,440"
16,TSM,-4.61%,-5.02%,19.60%,65.07%,46.46%,50.99%,369.70%,244.87%,1225.57%,2.82%,2.85%,12.59M,0.91,289.24,-1.50%,"11,404,592"
17,AAPL,-0.60%,4.54%,17.62%,36.60%,7.73%,21.51%,79.07%,147.81%,795.28%,2.01%,2.04%,53.85M,0.91,269.77,-0.14%,"49,203,005"
18,AVGO,-5.55%,2.92%,16.60%,71.15%,53.38%,110.97%,659.97%,917.05%,2861.03%,3.94%,3.55%,23.00M,0.85,355.59,-0.94%,"19,662,409"
19,BAC,0.49%,6.92%,15.82%,28.10%,21.25%,28.94%,47.21%,124.85%,211.82%,2.05%,2.21%,34.74M,1.55,53.29,1.60%,"53,754,666"
20,MS,-1.11%,4.99%,14.14%,34.08%,29.99%,40.71%,95.20%,239.40%,387.24%,2.29%,2.26%,5.28M,0.81,163.42,-1.07%,"4,289,480"
