No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf YTD,Perf Year,Perf 3Y,Perf 5Y,Perf 10Y,Volatility W,Volatility M,Avg Volume,Rel Volume,Price,Change,Volume
1,MU,2.17%,21.78%,107.64%,177.22%,165.89%,106.85%,303.55%,329.17%,1197.97%,3.64%,4.52%,23.17M,0.66,223.77,-0.11%,"16,319,993"
2,APP,2.80%,-6.77%,61.35%,107.21%,96.81%,270.02%,3442.69%,-,-,3.88%,5.74%,7.45M,0.57,637.33,2.69%,"4,312,142"
3,ASML,2.53%,2.82%,51.46%,53.44%,52.83%,48.12%,118.81%,188.23%,1031.17%,1.33%,2.26%,1.52M,0.73,1059.23,-1.51%,"1,179,839"
4,TSLA,5.27%,4.72%,47.63%,58.96%,13.05%,75.92%,103.24%,225.90%,3175.34%,3.59%,4.22%,86.29M,0.96,456.56,3.74%,"83,135,784"
5,BABA,-2.44%,-9.99%,45.05%,36.60%,102.60%,72.08%,152.88%,-43.54%,129.11%,1.93%,3.19%,18.87M,0.70,170.43,-2.01%,"13,181,435"
6,AMD,1.27%,50.90%,44.88%,159.23%,112.04%,54.06%,328.80%,211.47%,11489.14%,3.80%,5.34%,61.25M,0.56,256.12,0.50%,"34,449,204"
7,GOOGL,8.18%,14.45%,44.17%,71.43%,48.54%,65.72%,196.21%,254.97%,681.81%,2.80%,2.49%,33.49M,1.16,281.19,-0.10%,"39,267,944"
8,GOOG,8.18%,14.36%,43.97%,69.97%,47.98%,64.67%,197.22%,254.39%,702.91%,2.77%,2.45%,21.65M,1.38,281.82,-0.03%,"29,932,812"
9,UNH,-5.78%,-3.44%,41.74%,-14.59%,-32.48%,-39.24%,-37.12%,5.73%,194.65%,3.39%,2.61%,13.73M,0.60,341.56,-0.93%,"8,390,831"
10,SHOP,0.53%,14.91%,38.85%,75.17%,63.51%,116.27%,498.28%,67.49%,5391.47%,3.53%,4.07%,8.06M,1.36,173.86,0.14%,"10,953,274"
11,CAT,10.43%,17.67%,33.10%,78.34%,59.13%,48.97%,193.08%,253.71%,704.54%,3.18%,2.83%,3.07M,0.96,577.26,-1.01%,"2,974,760"
12,AAPL,2.87%,5.15%,32.96%,31.66%,7.97%,15.71%,81.03%,135.00%,808.20%,1.82%,1.96%,55.09M,1.54,270.37,-0.38%,"86,167,120"
13,TSM,1.85%,4.28%,25.70%,67.58%,52.12%,52.55%,393.80%,246.40%,1237.03%,2.41%,2.99%,12.48M,1.01,300.43,-0.92%,"12,667,857"
14,PLTR,8.58%,7.17%,24.78%,61.31%,165.07%,346.18%,2239.21%,1914.77%,-,3.29%,4.22%,62.33M,0.84,200.47,3.04%,"52,697,644"
15,AVGO,4.38%,9.30%,24.15%,81.51%,59.43%,106.22%,701.49%,918.15%,2752.52%,3.42%,3.41%,22.98M,0.94,369.63,-1.82%,"21,598,440"
16,IBM,-0.02%,7.22%,22.00%,25.19%,39.84%,46.09%,127.69%,186.79%,122.45%,3.01%,3.25%,5.47M,1.41,307.41,-0.85%,"7,697,499"
17,TMO,-0.89%,8.08%,21.61%,33.96%,9.07%,3.58%,12.80%,17.61%,348.64%,2.53%,2.30%,2.10M,0.88,567.39,2.01%,"1,872,224"
18,AXP,0.89%,9.15%,20.81%,30.30%,21.54%,33.39%,145.60%,272.35%,383.62%,1.51%,2.28%,2.55M,0.84,360.73,0.52%,"2,155,948"
19,BAC,1.67%,5.88%,16.58%,30.14%,21.62%,25.68%,49.72%,117.81%,223.55%,1.49%,2.14%,34.55M,1.14,53.45,0.79%,"39,295,716"
20,MS,0.09%,5.60%,16.02%,36.42%,30.45%,37.47%,102.69%,225.91%,402.76%,1.59%,2.13%,5.30M,1.00,164.00,-0.76%,"5,323,660"
