No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf YTD,Perf Year,Perf 3Y,Perf 5Y,Perf 10Y,Volatility W,Volatility M,Avg Volume,Rel Volume,Price,Change,Volume
1,MU,6.32%,23.70%,92.31%,177.10%,182.70%,125.54%,345.13%,378.62%,1336.72%,5.30%,4.61%,23.72M,1.29,237.92,-0.17%,"30,485,787"
2,LRCX,1.20%,13.01%,56.23%,111.45%,120.61%,108.57%,302.89%,354.05%,1980.56%,3.95%,3.86%,11.52M,1.01,159.35,-1.75%,"11,599,990"
3,LLY,7.13%,8.07%,45.52%,25.84%,19.74%,14.68%,160.42%,602.25%,1033.22%,4.09%,2.99%,4.62M,0.94,924.37,-1.39%,"4,369,281"
4,ASML,-3.99%,3.71%,40.99%,44.00%,46.73%,50.34%,127.85%,178.46%,995.98%,2.32%,2.30%,1.52M,1.18,1016.96,-1.19%,"1,800,511"
5,BABA,-2.40%,-4.23%,40.21%,33.78%,97.74%,69.00%,161.35%,-45.60%,101.71%,2.59%,3.09%,18.92M,0.61,166.34,-0.76%,"11,525,518"
6,GOOGL,-0.84%,15.44%,38.72%,82.54%,47.30%,64.27%,220.60%,243.32%,656.26%,2.56%,2.62%,33.62M,1.02,278.83,-2.08%,"34,379,024"
7,GOOG,-0.75%,15.48%,38.72%,81.18%,46.87%,63.18%,221.24%,244.03%,686.99%,2.54%,2.59%,21.68M,1.01,279.70,-1.98%,"21,885,805"
8,CAT,-2.45%,12.54%,37.83%,72.93%,55.23%,46.88%,162.47%,244.89%,671.48%,3.28%,2.94%,3.00M,0.77,563.10,-1.17%,"2,318,114"
9,AMD,-8.82%,0.28%,35.56%,127.09%,93.34%,64.86%,298.33%,212.64%,10916.04%,5.26%,4.81%,59.33M,0.87,233.54,-1.75%,"51,836,940"
10,APP,-2.73%,3.27%,33.15%,88.69%,91.44%,275.31%,3757.69%,-,-,6.63%,4.98%,7.31M,0.91,619.93,-0.23%,"6,630,608"
11,IBM,-0.34%,6.30%,29.66%,22.95%,39.37%,47.60%,123.91%,184.09%,128.98%,2.94%,3.42%,5.44M,0.93,306.38,-1.93%,"5,065,359"
12,UNH,-5.08%,-11.83%,28.47%,-14.83%,-35.91%,-42.82%,-40.34%,3.88%,175.27%,3.14%,2.80%,12.87M,0.73,324.21,0.82%,"9,352,561"
13,TSLA,-5.92%,-1.38%,26.69%,44.01%,6.36%,70.82%,99.80%,221.73%,3013.52%,5.12%,4.39%,87.27M,1.18,429.52,-3.68%,"102,741,049"
14,AXP,2.17%,13.59%,24.41%,29.53%,24.18%,33.56%,156.82%,294.58%,403.06%,2.10%,2.34%,2.52M,1.09,368.54,0.77%,"2,734,218"
15,TMO,0.88%,7.06%,23.79%,41.99%,10.03%,2.07%,16.59%,19.12%,337.69%,2.34%,2.29%,2.05M,1.10,572.41,1.14%,"2,263,951"
16,TSM,-4.64%,-4.46%,18.34%,62.30%,45.07%,46.35%,373.40%,234.27%,1204.64%,2.85%,2.95%,12.62M,1.23,286.50,-0.95%,"15,580,901"
17,AAPL,-0.70%,5.68%,18.18%,35.23%,7.21%,20.15%,85.11%,146.82%,798.64%,1.82%,2.05%,52.97M,0.91,268.47,-0.48%,"48,147,907"
18,BAC,-0.47%,6.85%,15.25%,27.30%,21.05%,27.03%,47.41%,120.93%,217.04%,2.05%,2.23%,35.16M,1.13,53.20,-0.17%,"39,720,945"
19,AVGO,-5.46%,1.28%,14.98%,67.83%,50.72%,100.94%,666.24%,894.82%,2737.89%,4.21%,3.69%,23.04M,0.94,349.43,-1.73%,"21,627,234"
20,RTX,-0.86%,9.12%,14.32%,37.54%,52.93%,48.74%,87.97%,217.43%,204.89%,1.62%,1.93%,4.45M,0.85,176.97,1.07%,"3,773,211"
