No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf YTD,Perf Year,Perf 3Y,Perf 5Y,Perf 10Y,Volatility W,Volatility M,Avg Volume,Rel Volume,Price,Change,Volume
1,SNDK,39.07%,82.14%,376.14%,536.44%,467.67%,-,-,-,-,11.08%,9.22%,6.02M,1.58,204.36,16.42%,"9,364,983"
2,IREN,16.57%,28.74%,275.05%,888.87%,515.27%,553.19%,1976.29%,-,-,8.65%,11.16%,35.32M,0.77,60.42,-3.20%,"28,918,740"
3,BE,41.69%,58.11%,257.61%,629.86%,502.03%,1307.47%,705.97%,705.00%,-,10.66%,10.12%,13.22M,2.07,133.71,18.03%,"26,830,368"
4,RGTI,9.29%,32.29%,171.79%,344.31%,158.26%,3130.33%,1785.65%,-,-,11.45%,13.53%,78.01M,0.82,39.41,6.31%,"64,001,332"
5,LUMN,56.25%,79.74%,147.19%,210.73%,107.16%,70.81%,62.96%,13.64%,-59.56%,9.95%,7.09%,17.35M,3.71,11.00,9.45%,"61,746,412"
6,NBIS,26.85%,11.43%,129.84%,450.37%,351.62%,539.24%,209.04%,199.86%,436.68%,6.66%,7.89%,17.64M,0.78,125.10,2.68%,"13,952,790"
7,SATS,1.92%,-3.59%,125.90%,227.49%,221.48%,192.96%,299.67%,183.48%,167.30%,2.27%,3.44%,5.25M,0.48,73.62,-1.58%,"2,628,486"
8,CDE,-3.85%,-2.72%,110.01%,228.83%,219.06%,168.38%,380.26%,133.97%,525.00%,6.58%,6.70%,15.56M,0.93,18.25,-0.16%,"14,498,472"
9,INTC,11.97%,23.22%,108.79%,105.67%,106.18%,82.28%,52.10%,-23.30%,23.88%,6.13%,5.32%,128.00M,0.83,41.34,-0.46%,"106,962,944"
10,CIEN,15.07%,29.93%,103.87%,181.82%,123.17%,195.18%,333.21%,356.18%,723.99%,4.62%,4.77%,2.48M,1.04,189.27,3.40%,"2,589,072"
11,QBTS,25.54%,38.65%,99.30%,395.80%,307.86%,3194.23%,602.05%,-,-,11.39%,13.70%,53.01M,0.89,34.26,7.06%,"47,219,168"
12,LITE,35.57%,31.69%,94.66%,262.94%,155.25%,232.89%,195.93%,151.24%,1377.79%,7.24%,6.51%,3.43M,1.77,214.28,8.01%,"6,030,158"
13,RNA,48.63%,59.86%,89.73%,113.32%,139.51%,54.40%,396.08%,141.50%,-,2.09%,4.61%,4.81M,5.62,69.65,-0.40%,"25,127,960"
14,OKLO,19.40%,28.48%,87.26%,504.13%,575.55%,650.50%,1373.98%,-,-,10.80%,11.54%,20.21M,0.93,143.42,8.42%,"18,754,516"
15,WDC,17.36%,17.76%,79.67%,222.34%,213.77%,169.41%,435.81%,335.73%,161.90%,6.14%,6.16%,8.91M,2.08,141.38,13.18%,"18,267,280"
16,NOK,32.07%,52.39%,79.66%,46.89%,65.46%,53.67%,70.86%,71.66%,5.62%,8.89%,3.77%,38.89M,5.01,7.33,-5.66%,"184,917,824"
17,UI,11.89%,17.10%,77.63%,136.95%,133.04%,202.25%,138.64%,296.60%,2506.20%,3.16%,4.68%,188.28K,1.77,773.52,1.48%,"327,840"
18,NXT,17.27%,38.76%,76.23%,152.82%,181.06%,226.35%,-,-,-,5.55%,5.06%,2.46M,0.93,102.67,5.85%,"2,287,238"
19,STX,23.52%,12.52%,69.17%,191.79%,207.75%,157.86%,371.71%,412.88%,615.38%,6.49%,5.76%,4.17M,2.40,265.62,19.11%,"9,900,845"
20,CLS,24.69%,37.09%,69.00%,295.75%,265.95%,386.84%,3455.47%,4802.32%,2976.23%,6.18%,6.34%,3.19M,1.19,337.77,3.47%,"4,002,670"
