No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf YTD,Perf Year,Perf 3Y,Perf 5Y,Perf 10Y,Volatility W,Volatility M,Avg Volume,Rel Volume,Price,Change,Volume
1,SNDK,17.29%,61.21%,393.70%,498.12%,475.03%,-,-,-,-,10.54%,9.44%,6.19M,1.71,207.01,3.85%,"10,573,571"
2,IREN,4.25%,34.26%,311.85%,994.51%,589.92%,556.49%,1904.44%,-,-,9.57%,11.35%,35.34M,2.26,67.75,11.52%,"79,991,926"
3,BE,31.18%,57.68%,278.54%,772.37%,541.02%,1309.60%,667.08%,823.28%,-,11.35%,10.33%,13.23M,1.30,142.37,7.73%,"17,241,862"
4,LUMN,26.39%,80.34%,215.47%,179.67%,122.79%,76.83%,69.73%,32.03%,-58.23%,17.18%,9.22%,18.41M,2.35,11.83,15.08%,"43,225,034"
5,SATS,1.32%,-2.27%,181.97%,215.62%,229.13%,199.32%,306.75%,210.55%,167.74%,3.32%,3.38%,5.19M,0.68,75.37,0.67%,"3,546,254"
6,RGTI,-2.78%,-2.35%,137.52%,303.51%,156.36%,2674.47%,1736.62%,-,-,11.82%,13.23%,78.89M,0.75,39.12,-11.63%,"59,047,490"
7,NBIS,-3.95%,-5.87%,118.36%,406.18%,334.91%,446.10%,226.30%,175.36%,393.33%,8.08%,8.19%,17.56M,0.97,120.47,-7.91%,"17,048,304"
8,GH,39.62%,57.42%,114.25%,124.56%,223.80%,328.78%,105.83%,-3.87%,-,6.54%,4.96%,2.68M,1.00,98.92,6.34%,"2,683,779"
9,WDC,24.75%,20.34%,108.36%,250.92%,250.70%,212.03%,508.98%,418.66%,211.38%,8.19%,6.27%,8.85M,1.49,158.02,5.20%,"13,154,191"
10,CIEN,3.85%,25.16%,107.19%,159.99%,123.51%,193.30%,302.72%,379.41%,670.57%,4.57%,4.74%,2.49M,0.69,189.56,-0.19%,"1,723,748"
11,INTC,-0.10%,7.25%,95.64%,94.87%,97.01%,77.13%,50.36%,-13.45%,14.19%,3.93%,4.91%,128.11M,0.47,39.50,-1.23%,"60,097,398"
12,LITE,2.98%,21.84%,84.54%,215.94%,137.74%,205.40%,173.85%,138.05%,1245.79%,6.80%,6.28%,3.49M,1.50,199.58,-0.98%,"5,235,988"
13,RNA,-0.29%,48.51%,82.44%,116.23%,140.03%,61.50%,393.29%,155.68%,-,0.34%,3.98%,5.06M,1.19,69.80,-0.07%,"6,032,040"
14,NXT,2.99%,31.60%,81.19%,146.84%,177.85%,217.49%,-,-,-,4.93%,4.92%,2.34M,0.89,101.50,0.28%,"2,090,828"
15,QBTS,-5.57%,1.19%,80.82%,354.53%,293.93%,2828.32%,723.13%,-,-,12.19%,13.94%,53.12M,0.87,33.09,-10.71%,"46,378,307"
16,CLS,15.64%,49.36%,77.60%,277.88%,278.13%,400.16%,3140.58%,5140.39%,3044.23%,7.54%,6.41%,3.11M,0.60,349.01,1.32%,"1,858,513"
17,UI,3.99%,16.88%,77.35%,125.38%,133.24%,195.09%,130.99%,308.24%,2445.00%,3.71%,4.67%,191.16K,0.78,774.19,-1.65%,"148,218"
18,PSTG,3.28%,13.49%,76.17%,107.23%,60.51%,84.61%,230.54%,464.72%,422.80%,2.86%,3.66%,3.10M,0.67,98.60,-0.10%,"2,077,498"
19,WBD,5.94%,17.38%,75.24%,166.31%,110.88%,186.87%,78.46%,10.90%,-23.90%,2.93%,3.90%,53.78M,0.77,22.29,-0.71%,"41,354,813"
20,STX,15.30%,5.05%,75.00%,183.77%,207.67%,166.11%,411.07%,446.91%,571.43%,9.11%,6.14%,4.12M,1.08,265.55,3.78%,"4,433,937"
