No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf YTD,Perf Year,Perf 3Y,Perf 5Y,Perf 10Y,Volatility W,Volatility M,Avg Volume,Rel Volume,Price,Change,Volume
1,SNDK,6.06%,57.48%,368.40%,466.53%,476.92%,-,-,-,-,10.41%,9.31%,6.59M,1.53,207.69,-4.07%,"10,116,328"
2,BE,7.05%,56.27%,271.90%,693.85%,516.21%,1164.88%,649.10%,982.75%,-,10.15%,10.34%,13.41M,0.75,136.86,-3.22%,"10,105,450"
3,IREN,15.01%,11.43%,262.93%,871.84%,581.87%,686.84%,1875.22%,-,-,13.11%,11.78%,37.33M,1.34,66.96,-12.37%,"49,986,586"
4,LUMN,5.80%,55.40%,190.96%,162.98%,106.03%,46.26%,47.24%,26.91%,-61.04%,15.12%,9.37%,18.69M,1.07,10.94,0.74%,"20,030,172"
5,SATS,-3.43%,-7.34%,160.89%,196.23%,208.52%,191.10%,272.23%,205.05%,152.20%,3.95%,3.32%,5.09M,1.16,70.65,-2.31%,"5,897,957"
6,RGTI,-19.19%,-20.52%,122.54%,233.27%,125.16%,2940.71%,1727.66%,-,-,9.85%,12.59%,79.33M,0.59,34.36,-7.86%,"46,420,887"
7,WDC,18.44%,35.01%,118.22%,269.30%,263.09%,231.97%,506.55%,473.84%,219.24%,7.41%,6.07%,9.04M,0.92,163.60,2.19%,"8,297,579"
8,CIEN,6.62%,26.18%,111.93%,169.40%,137.54%,218.56%,320.06%,411.45%,742.93%,5.23%,4.89%,2.53M,1.10,201.46,2.89%,"2,773,028"
9,LITE,19.76%,46.96%,106.14%,265.03%,185.50%,273.51%,217.79%,189.85%,1551.83%,8.27%,6.86%,3.75M,1.91,239.68,2.98%,"7,144,861"
10,WBD,3.70%,25.32%,105.50%,148.83%,112.11%,174.42%,67.94%,10.77%,-23.66%,2.90%,3.62%,53.11M,0.91,22.42,-1.49%,"48,543,087"
11,NXT,7.49%,35.72%,89.54%,138.88%,191.65%,153.91%,-,-,-,6.60%,5.52%,2.37M,1.05,106.54,-4.74%,"2,492,152"
12,INTC,-7.27%,-0.51%,86.67%,77.33%,85.74%,65.36%,31.59%,-15.90%,9.43%,4.63%,4.95%,127.88M,0.58,37.24,-2.97%,"73,535,860"
13,STX,3.78%,24.12%,85.09%,189.17%,222.64%,178.78%,445.70%,482.33%,631.66%,8.03%,6.06%,4.23M,0.96,278.47,0.98%,"4,061,179"
14,ROIV,5.06%,28.32%,79.03%,86.49%,73.88%,78.40%,288.11%,-,-,3.43%,3.17%,7.76M,1.40,20.57,1.68%,"10,845,721"
15,IONS,-0.09%,5.92%,77.95%,126.26%,111.96%,92.77%,65.29%,57.83%,45.18%,3.60%,2.95%,2.47M,0.98,74.10,-0.78%,"2,417,302"
16,GH,4.16%,47.35%,77.48%,130.93%,215.06%,307.84%,94.44%,-12.24%,-,7.28%,5.56%,2.79M,1.44,96.25,1.26%,"4,014,085"
17,RVMD,4.26%,28.36%,75.37%,46.46%,40.33%,9.86%,195.24%,103.31%,-,4.11%,3.85%,2.19M,1.15,61.38,3.44%,"2,510,852"
18,TER,4.60%,27.95%,72.16%,140.79%,46.93%,77.44%,125.03%,110.61%,854.70%,4.56%,4.30%,3.71M,1.21,185.02,-1.37%,"4,499,866"
19,MDB,2.39%,8.89%,70.11%,98.50%,52.84%,33.08%,96.10%,55.74%,-,4.96%,3.97%,2.59M,0.61,355.83,1.58%,"1,587,400"
20,INSM,-4.40%,14.75%,69.49%,182.92%,168.95%,172.70%,961.03%,463.69%,797.00%,4.05%,3.66%,2.45M,0.76,185.68,-0.64%,"1,856,921"
