No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf YTD,Perf Year,Perf 3Y,Perf 5Y,Perf 10Y,Volatility W,Volatility M,Avg Volume,Rel Volume,Price,Change,Volume
1,SNDK,19.84%,65.29%,384.39%,514.30%,456.11%,-,-,-,-,11.08%,9.22%,6.02M,2.24,200.20,-2.04%,"4,162,211"
2,IREN,6.14%,25.93%,285.00%,830.77%,503.77%,443.94%,1648.97%,-,-,8.65%,11.16%,35.32M,0.79,59.29,-1.87%,"8,605,365"
3,BE,29.93%,46.11%,258.88%,683.94%,493.34%,1198.33%,633.33%,702.07%,-,10.66%,10.12%,13.22M,1.65,131.78,-1.44%,"6,731,237"
4,LUMN,41.66%,81.80%,197.44%,213.49%,107.82%,72.15%,59.47%,14.83%,-60.46%,9.95%,7.09%,17.35M,2.81,11.03,0.32%,"15,021,305"
5,RGTI,1.81%,35.04%,185.48%,341.03%,164.15%,2587.33%,1675.77%,-,-,11.45%,13.53%,78.01M,0.92,40.31,2.28%,"22,186,372"
6,SATS,0.42%,-7.75%,172.34%,218.59%,220.26%,190.11%,294.09%,180.24%,163.20%,2.27%,3.44%,5.25M,0.51,73.34,-0.38%,"817,680"
7,NBIS,16.62%,7.08%,138.08%,417.45%,346.93%,421.26%,213.34%,190.20%,409.47%,6.66%,7.89%,17.64M,1.03,123.80,-1.04%,"5,590,778"
8,GH,36.86%,51.49%,129.14%,94.21%,210.67%,327.52%,122.17%,-7.58%,-,4.85%,4.48%,2.65M,5.54,94.91,31.33%,"4,531,018"
9,CIEN,9.80%,24.90%,113.80%,165.28%,123.43%,195.67%,319.05%,359.49%,705.32%,4.62%,4.77%,2.48M,0.77,189.49,0.12%,"593,064"
10,INTC,7.60%,14.25%,112.64%,105.51%,104.79%,79.15%,49.80%,-14.81%,19.36%,6.13%,5.32%,128.00M,0.83,41.06,-0.68%,"32,819,063"
11,QBTS,11.34%,34.93%,111.13%,395.45%,311.70%,2781.88%,666.80%,-,-,11.39%,13.70%,53.01M,0.83,34.58,0.94%,"13,640,033"
12,CDE,-5.90%,-5.40%,105.76%,230.74%,212.24%,164.99%,357.95%,128.68%,495.33%,6.58%,6.70%,15.56M,1.20,17.86,-2.14%,"5,748,538"
13,OKLO,14.51%,23.18%,99.75%,442.76%,572.63%,482.86%,1361.62%,-,-,10.80%,11.54%,20.21M,1.05,142.80,-0.43%,"6,560,686"
14,RNA,43.82%,62.38%,94.39%,113.60%,140.11%,52.72%,395.56%,149.73%,-,2.09%,4.61%,4.81M,3.22,69.82,0.25%,"4,776,440"
15,LITE,20.73%,18.69%,90.69%,230.67%,142.32%,213.16%,175.20%,142.09%,1293.36%,7.24%,6.51%,3.43M,1.70,203.43,-5.06%,"1,801,671"
16,UI,10.14%,16.77%,84.35%,135.17%,137.23%,204.49%,133.57%,311.62%,2509.98%,3.16%,4.68%,188.28K,2.12,787.43,1.80%,"122,951"
17,WDC,10.72%,6.59%,81.84%,216.72%,208.94%,164.26%,422.01%,341.56%,163.32%,6.14%,6.16%,8.91M,1.39,139.20,-1.54%,"3,807,199"
18,PSTG,4.19%,13.85%,78.97%,109.98%,58.81%,80.42%,230.58%,438.98%,400.54%,2.95%,3.86%,3.09M,0.45,97.56,-0.03%,"423,334"
19,NOK,16.05%,48.55%,76.79%,43.49%,61.63%,44.65%,62.36%,66.51%,2.29%,8.89%,3.77%,38.89M,3.21,7.16,-2.32%,"38,506,278"
20,CLS,21.40%,36.37%,76.25%,284.75%,271.87%,388.24%,3003.37%,4824.43%,2897.67%,6.18%,6.34%,3.19M,1.37,343.23,1.62%,"1,349,666"
